22nya	dua-duanya
gtw	tidak tahu
gua	aku
guaa	aku
guanteng	ganteng
gue	aku
guee	aku
guoblok	bodoh
gw	aku
hadirr	hadir
hallo	halo
hallow	halo
haloo	halo
halow	halo
hancurin	hancurkan
hapusin	hapuskan
hayal	khayal
hayalanku	khayalanku
hayoo	ayo
hayuk	ayo
hayuu	ayo
hbis	habis
hdp	hidup
hdpnya	hidupnya
hdup	hidup
hebaat	hebat
hebatt	hebat
heii	hai
hello	halo
helloo	halo
hellow	halo
helo	halo
hianatin	khianati
hidupx	hidupnya
hilangv	hilang
himana	bagaimana
hlm	halaman
hmpir	hampir
hndak	hendak
hndk	hendak
hngga	hingga
hny	hanya
hnya	hanya
hpus	hapus
hrs	harus
hrsny	harusny
hrsnya	harusnya
hrus	harus
hrusnya	harusnya
hslnya	hasilnya
hubngan	hubungan
hubunggi	hubungi
hujatann	hujatan
ibliss	iblis
idamann	idaman
idung	hidung
idungnya	hidungnya
idup	hidup
idupnya	hidupnya
igtlah	ingatlah
ijap	ijab
ikut2an	ikut-ikutan
ilang	hilang
ilang "	hilang-hilang
ilang-ilang	hilang-hilang
ilang2an	hilang-hilangan
imoet	imut
imoetz	imut
imutt	imut
imutz	imut
imuut	imut
imuutt	imut
indahh	indah
indonesiaa	indonesia
indonesiaah	indonesia
ingeet	ingat
inget	ingat
inieh	ini
inih	ini
inii	ini
iniw	ini
istikamah	istiqomah
istiqamah	istiqomah
it ' s	it is
item	hitam
ituh	itu
itung	hitung
itungan	hitungan
ituu	itu
iy	iya
iyaa	iya
iyah	iya
iyak	iya
iyap	iya
iye	iya
iyh	iya
iyha	iya
iyo	iya
jaangan	jangan
jadii	jadi
jadul	zaman dulu
jadulnya	zaman dulunya
jakety	jaketnya
jaman	zaman
jangaan	jangan
jaooh	jauh
jatoh	jatuh
jatuhnyaa	jatuhnya
jauhh	jauh
jauhin	jauhi
jauuh	jauh
jawabanny	jawabannya
jd	jadi
jdi	jadi
jdikan	jadikan
jdulnya	judulnya
jdwl	jadwal
jelek " in	menjelek-jelekkan
jendes	janda
jendess	janda
jendral	jenderal
jeniuss	jenius
jg	juga
jga	juga
jgan	jangan
jgn	jangan
jgn-jgn	jangan-jangan
jgnkan	jangankan
jilbabny	jilbabnya
jilbabnyaah	jilbabnya
jilbabnye	jilbabnya
jing	anjing
jjur	jujur
jk	jika
jkrta	jakarta
jkt	jakarta
jlbb	jilbab
jlek	jelek
jln	jalan
jln-jln	jalan-jalan
jls-jls	jelas-jelas
jmnya	jamnya
jngan	jangan
jngn	jangan
jodohny	jodohnya
jodohx	jodohnya
jorokk	jorok
jrang	jarang
jt	juta
jubir	juru bicara
judulnyaa	judulnya
jugaa	juga
jugak	juga
jugakk	juga
jwab	jawab
jwb	jawab
jwban	jawaban
ka	kakak
kaan	kan
kaasian	kasihan
kab	kabupaten
kabag	kepala bagian
kabor	kabur
kacauu	kacau
kaciaan	kasihan
kacian	kasihan
kaciann	kasihan
kaciiaann	kasihan
kaciian	kasihan
kacrut	kacau
kadit	kepala direktorat
kadiv	kepala divisi
kaga	tidak
kagak	tidak
kageet	kaget
kaka	kakak
kakakny	kakaknya
kakk	kakak
kalahnye	kalahnya
kalauu	kalau
kalaw	kalau
kale	kali
kaliaan	kalian
kaliann	kalian
kalii	kali
kallo	kalau
kalo	kalau
kalogak	kalo tidak
kalok	kalau
kaloo	kalau
kalow	kalau
kalu	kalau
kalw	kalau
kamii	kami
kamo	kamu
kampungn	kampungan
kamuh	kamu
kamunyaa	kamunya
kamuu	kamu
kamuwh	kamu
kamyu	kamu
kamyuh	kamu
kanapa	kenapa
kancang	kencang
kangeen	kangen
kangeenn	kangen
kangenn	kangen
kann	kan
kanwil	kantor wilayah
kapaan	kapan
kapt	kapten
kareno	karena
karir . a	karirnya
karmaa	karma
karna	karena
kasian	kasihan
kasiann	kasihan
kasiatnya	khasiatnya
kasihn	kasihan
kata2nya	kata-katanya
kata2nyaa	kata-katanya
katanyaa	katanya
katrok	kampungan
kau	kamu
kauu	kamu
kbahagiaan	kebahagiaan
kbar	kabar
kberkahn	keberkahan
kbetulan	kebetulan
kbiasaan	kebiasaan
kcantikan	kecantikan
kcewa	kecewa
kcian	kasihan
kcil	kecil
kcwa	kecewa
kdang	kadang
kdg	kadang
kdng	kadang
kdua	kedua
kebarat2an	kebarat-baratan
kebayang	terbayang
kebongkar	terbongkar
kebukti	terbukti
kec	kecamatan
kece	cantik
kece-kece	cantik-cantik
keciil	kecil
kecik	kecil
kecill	kecil
kecptan	kecepatan
kedokk	kedok
keduaa	kedua
kedubes	kedutaan besar
keeren	keren
keinget	teringat
kejadianny	kejadiannya
kejahatn	kejahatan
kejawab	terjawab
kekeuh	keras kepala
kekuranganny	kekurangannya
keliatan	kelihatan
keliatannya	kelihatannya
keluarin	keluarkan
kemakan	termakan
kemaren	kemarin
kemariin	kemarin
kemarinn	kemarin
kemarn	kemarin
kemuh	kamu
kenaliin	kenalkan
kenalin	kenalkan
kenalinn	kenalkan
kenapaa	kenapa
kenape	kenapa
kenceng	kencang
kencng	kencang
kepd	kepada
kepikir	terpikir
kepikiran	terpikirkan
kepsek	kepala sekolah
keputihn	keputihan
kerass	keras
kereen	keren
kereenn	keren
kerenn	keren
kerjaan	pekerjaan
kesalahanny	kesalahannya
kesampean	kesampaian
kesian	kasihan
kesihan	kasihan
ketaatanny	ketaatannya
ketauan	ketahuan
ketawain	menertawakan
ketemuu	ketemu
ketipu	tertipu
ketrima	diterima
ketuker	tertukar
keukeuh	keras kepala
kgak	tidak
kgeen	kangen
kgiatan	kegiatan
kgn	kangen
khadiran	kehadiran
khadirannya	kehadirannya
khdpn	kehidupan
khidupan	kehidupan
kibul	bohong
kimpoi	kawin
kirimin	kirimkan
kitaa	kita
kite	kita
kk	kakak
kka	kakak
kkak	kakak
klahiran	kelahiran
klakuan	kelakuan
klas	kelas
klau	kalau
klauu	kalau
klen	kalian
klhran	kelahiran
klian	kalian
klianz	kalian
kliatan	kelihatan
kliatanya	kelihatannya
klihatan	kelihatan
klmbutan	kelembutan
klo	kalau
klow	kalau
klrga	keluarga
klu	kalau
kluar	keluar
kluarga	keluarga
klw	kalau
klwrga	keluarga
kmana	kemana
kmana-kmana	kemana-mana
kmaren	kemarin
kmari	kemari
kmariin	kemarin
kmarin	kemarin
kmbali	kembali
kmbang	kembang
kmewahan	kemewahan
kmps	kampus
kmpus	kampus
kmren	kemarin
kmrin	kemarin
kmrn	kemarin
kmu	kamu
knalan	kenalan
kngen	kangen
kngenn	kangen
knp	kenapa
knpa	kenapa
knyataan	kenyataan
kocaak	kocak
kocakk	kocak
kog	kok
komen-komen	komentar-komentar
komen2an	komentar-komentar
komenan	komentar
komenannya	komentarnya
konsekwensi	konsekuensi
konsul	konsultasi
koq	kok
korup	korupsi
kpada	kepada
kpan	kapan
kpancing	terpancing
kpd	kepada
kpn	kapan
kpn-kpn	kapan-kapan
kpnpun	kapanpun
kptsan	keputusan
kpuasan	kepuasan
kq	kok
kreative	kreatif
kreen	keren
kren	keren
krena	karena
krenn	keren
krenz	keren
kriput	keriput
krn	karena
krna	karena
krng	kurang
krudung	kerudung
krus	kurus
krya	karya
ksih	kasih
ksini	kesini
ksitu	kesitu
kslahan	kesalahan
kslhn	kesalahan
ksni	kesini
ksukaanmuu	kesukaanmu
ktaatan	ketaatan
ktanya	katanya
ktauan	ketahuan
ktawa	ketawa
ktemu	ketemu
ktergantungan	ketergantungan
ktika	ketika
ktny	katanya
ktnya	katanya
kuaat	kuat
kuatt	kuat
kueren	keren
kueren-kueren	keren-keren
kuq	kok
kurangin	kurangi
kusem	kusam
kususnya	khususnya
laen	lain
laenny	lainnya
lagihh	lagi
lagii	lagi
lagu2nya	lagu-lagunya
lahh	lah
lainnyaa	lainnya
lairannya	kelahirannya
laki "	laki-laki
laku "	laku-laku
lambreta	lambat
lancr	lancar
langgengg	langgeng
lanjutin	lanjutkan
lanjutkaan	lanjutkan
lanjutkann	lanjutkan
lapakk	lapak
lapas	lembaga pemasyarakatan
latgab	latihan gabungan
latian	latihan
lbih	lebih
lbihh	lebih
lbur	libur
lcu	lucu
lebh	lebih
ledekin	meledek
lengkapp	lengkap
lgkah-lgkah	langkah-langkah
lgkp	lengkap
lgsg	langsung
lgsung	langsung
lgunya	lagunya
lhir	lahir
lhirr	lahir
liat	lihat
liat ' y	lihatnya
liat-liat	lihat-lihat
liatin	lihatkan
liatlah	lihatlah
liatnya	lihatnya
liatnyaa	lihatnya
liatt	lihat
lihaat	lihat
lihaatt	lihat
lipetan	lipatan
liptsk	lipstik
lma	lama
lmyan	lumayan
lmyn	lumayan
lngkp	lengkap
lngsing	langsing
lngsung	langsung
lo	kamu
loe	kamu
lom	belum
loncaat	loncat
loncatt	loncat
lsg	langsung
lt	lantai
lu	kamu
luaarr	luar
luchu	lucu
luchuw	lucu
lucuna	lucunya
lucuny	lucunya
